20170919_lin-04_GFP_spe-9 003 2017-09-22t0700	784	26	64		0.000	16608
20170919_lin-04_GFP_spe-9 003 2017-09-22t1111	773	25	68		0.000	16608
20170919_lin-04_GFP_spe-9 003 2017-09-22t1520	778	27	72		0.000	16480
20170919_lin-04_GFP_spe-9 003 2017-09-22t1848	811	26	76		0.000	16544
20170919_lin-04_GFP_spe-9 003 2017-09-22t2248	754	28	80		0.000	16672
20170919_lin-04_GFP_spe-9 003 2017-09-23t0304	785	26	84		0.000	16608
20170919_lin-04_GFP_spe-9 003 2017-09-23t0648	765	28	88		0.000	16544
20170919_lin-04_GFP_spe-9 003 2017-09-23t1048	766	29	92		0.000	16544
20170919_lin-04_GFP_spe-9 003 2017-09-23t1448	784	30	96		0.000	20960
20170919_lin-04_GFP_spe-9 003 2017-09-23t1848	763	27	100		0.000	16544
20170919_lin-04_GFP_spe-9 003 2017-09-23t2248	777	31	104		0.000	16608
20170919_lin-04_GFP_spe-9 003 2017-09-24t0248	765	30	108		0.000	16544
20170919_lin-04_GFP_spe-9 003 2017-09-24t0659	712	28	112		0.000	16672
20170919_lin-04_GFP_spe-9 003 2017-09-24t1120	759	27	116		0.000	16672
20170919_lin-04_GFP_spe-9 003 2017-09-24t1448	776	28	120		0.000	20960
20170919_lin-04_GFP_spe-9 003 2017-09-24t1848	778	31	124		0.000	16672
20170919_lin-04_GFP_spe-9 003 2017-09-24t2304	789	31	128		0.000	16608
20170919_lin-04_GFP_spe-9 003 2017-09-25t0248	745	29	132		0.000	16608
20170919_lin-04_GFP_spe-9 003 2017-09-25t0648	794	28	136		0.000	16608
20170919_lin-04_GFP_spe-9 003 2017-09-25t1049	743	31	140		0.000	16608
20170919_lin-04_GFP_spe-9 003 2017-09-25t1449	741	30	144		0.000	21024
20170919_lin-04_GFP_spe-9 003 2017-09-25t1848	745	29	148		0.000	21024
20170919_lin-04_GFP_spe-9 003 2017-09-25t2248	740	30	152		0.000	21024
20170919_lin-04_GFP_spe-9 003 2017-09-26t0252	712	30	156		0.000	16672
20170919_lin-04_GFP_spe-9 003 2017-09-26t0648	625	29	160		0.000	16672
20170919_lin-04_GFP_spe-9 003 2017-09-26t1048	704	30	164		0.000	16672
20170919_lin-04_GFP_spe-9 003 2017-09-26t1449	676	30	168		0.000	16544
20170919_lin-04_GFP_spe-9 004 2017-09-21t2300	662	25	52		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-22t0300	751	23	56		0.000	16736
20170919_lin-04_GFP_spe-9 004 2017-09-22t0700	713	26	60		0.000	16608
20170919_lin-04_GFP_spe-9 004 2017-09-22t1111	790	25	64		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-22t1520	742	26	68		0.000	16480
20170919_lin-04_GFP_spe-9 004 2017-09-22t1848	777	27	72		0.000	16608
20170919_lin-04_GFP_spe-9 004 2017-09-22t2248	822	31	76		0.000	16608
20170919_lin-04_GFP_spe-9 004 2017-09-23t0304	823	30	80		0.000	16544
20170919_lin-04_GFP_spe-9 004 2017-09-23t0648	793	31	84		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-23t1048	839	29	88		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-23t1448	830	28	92		0.000	20960
20170919_lin-04_GFP_spe-9 004 2017-09-23t1848	803	31	96		0.000	16608
20170919_lin-04_GFP_spe-9 004 2017-09-23t2248	798	30	100		0.000	16608
20170919_lin-04_GFP_spe-9 004 2017-09-24t0248	796	29	104		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-24t0659	783	28	108		0.000	16608
20170919_lin-04_GFP_spe-9 004 2017-09-24t1120	764	27	112		0.001	16608
20170919_lin-04_GFP_spe-9 004 2017-09-24t1448	800	29	116		0.000	21088
20170919_lin-04_GFP_spe-9 004 2017-09-24t1848	820	35	120		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-24t2304	793	30	124		0.003	16736
20170919_lin-04_GFP_spe-9 004 2017-09-25t0248	832	29	128		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-25t0648	794	32	132		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-25t1049	874	29	136		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-25t1449	875	33	140		0.000	21088
20170919_lin-04_GFP_spe-9 004 2017-09-25t1848	893	30	144		0.000	21088
20170919_lin-04_GFP_spe-9 004 2017-09-25t2248	818	32	148		0.000	21088
20170919_lin-04_GFP_spe-9 004 2017-09-26t0252	848	30	152		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-26t0648	842	34	156		0.000	16800
20170919_lin-04_GFP_spe-9 004 2017-09-26t1048	784	30	160		0.000	16672
20170919_lin-04_GFP_spe-9 004 2017-09-26t1449	898	31	164		0.000	16608
20170919_lin-04_GFP_spe-9 004 2017-09-26t1849	814	28	168		0.000	16608
20170919_lin-04_GFP_spe-9 005 2017-09-21t1459	652	23	48		0.000	21280
20170919_lin-04_GFP_spe-9 005 2017-09-21t1859	689	22	52		0.000	16800
20170919_lin-04_GFP_spe-9 005 2017-09-21t2300	785	24	56		0.000	16800
20170919_lin-04_GFP_spe-9 005 2017-09-22t0300	791	24	60		0.000	16800
20170919_lin-04_GFP_spe-9 005 2017-09-22t0700	836	27	64		0.000	16736
20170919_lin-04_GFP_spe-9 005 2017-09-22t1111	811	29	68		0.000	16736
20170919_lin-04_GFP_spe-9 005 2017-09-22t1520	831	27	72		0.000	16608
20170919_lin-04_GFP_spe-9 005 2017-09-22t1848	828	27	76		0.000	16672
20170919_lin-04_GFP_spe-9 005 2017-09-22t2248	814	29	80		0.000	16736
20170919_lin-04_GFP_spe-9 005 2017-09-23t0304	860	28	84		0.000	16672
20170919_lin-04_GFP_spe-9 005 2017-09-23t0648	868	29	88		0.000	16672
20170919_lin-04_GFP_spe-9 005 2017-09-23t1048	748	30	92		0.000	16672
20170919_lin-04_GFP_spe-9 005 2017-09-23t1448	841	29	96		0.000	21088
20170919_lin-04_GFP_spe-9 005 2017-09-23t1848	826	32	100		0.000	16672
20170919_lin-04_GFP_spe-9 005 2017-09-23t2248	818	29	104		0.000	16672
20170919_lin-04_GFP_spe-9 005 2017-09-24t0248	821	30	108		0.000	16672
20170919_lin-04_GFP_spe-9 005 2017-09-24t0659	822	34	112		0.000	16672
20170919_lin-04_GFP_spe-9 005 2017-09-24t1120	880	29	116		0.000	16800
20170919_lin-04_GFP_spe-9 005 2017-09-24t1448	876	30	120		0.000	21088
20170919_lin-04_GFP_spe-9 005 2017-09-24t1848	863	30	124		0.000	16672
20170919_lin-04_GFP_spe-9 005 2017-09-24t2304	888	28	128		0.000	16672
20170919_lin-04_GFP_spe-9 005 2017-09-25t0248	860	32	132		0.000	16736
20170919_lin-04_GFP_spe-9 005 2017-09-25t0648	848	30	136		0.000	16736
20170919_lin-04_GFP_spe-9 005 2017-09-25t1049	878	32	140		0.000	16736
20170919_lin-04_GFP_spe-9 005 2017-09-25t1449	860	32	144		0.004	21152
20170919_lin-04_GFP_spe-9 005 2017-09-25t1848	833	30	148		0.000	21152
20170919_lin-04_GFP_spe-9 005 2017-09-25t2248	891	28	152		0.000	21216
20170919_lin-04_GFP_spe-9 005 2017-09-26t0252	868	30	156		0.000	16800
20170919_lin-04_GFP_spe-9 005 2017-09-26t0648	826	28	160		0.000	16736
20170919_lin-04_GFP_spe-9 005 2017-09-26t1048	887	30	164		0.001	16800
20170919_lin-04_GFP_spe-9 005 2017-09-26t1449	891	29	168		0.000	16736
20170919_lin-04_GFP_spe-9 006 2017-09-21t2300	782	26	52		0.000	16672
20170919_lin-04_GFP_spe-9 006 2017-09-22t0300	813	25	56		0.000	16736
20170919_lin-04_GFP_spe-9 006 2017-09-22t0700	818	26	60		0.000	16672
20170919_lin-04_GFP_spe-9 006 2017-09-22t1111	822	27	64		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-22t1520	878	27	68		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-22t1848	898	26	72		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-22t2248	900	28	76		0.000	16544
20170919_lin-04_GFP_spe-9 006 2017-09-23t0304	932	27	80		0.000	16544
20170919_lin-04_GFP_spe-9 006 2017-09-23t0648	930	27	84		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-23t1048	934	30	88		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-23t1448	922	30	92		0.000	20960
20170919_lin-04_GFP_spe-9 006 2017-09-23t1848	934	29	96		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-23t2248	899	30	100		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-24t0248	866	30	104		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-24t0659	892	30	108		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-24t1120	891	29	112		0.000	16736
20170919_lin-04_GFP_spe-9 006 2017-09-24t1448	882	27	116		0.000	20960
20170919_lin-04_GFP_spe-9 006 2017-09-24t1848	922	29	120		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-24t2304	871	30	124		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-25t0248	909	31	128		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-25t0648	919	29	132		0.000	16672
20170919_lin-04_GFP_spe-9 006 2017-09-25t1049	851	31	136		0.000	16608
20170919_lin-04_GFP_spe-9 006 2017-09-25t1449	841	30	140		0.000	21024
20170919_lin-04_GFP_spe-9 006 2017-09-25t1848	815	35	144		0.000	21088
20170919_lin-04_GFP_spe-9 006 2017-09-25t2248	797	30	148		0.000	21088
20170919_lin-04_GFP_spe-9 006 2017-09-26t0252	757	28	152		0.004	16672
20170919_lin-04_GFP_spe-9 006 2017-09-26t0648	818	32	156		0.011	16736
20170919_lin-04_GFP_spe-9 006 2017-09-26t1048	807	28	160		0.005	16608
20170919_lin-04_GFP_spe-9 006 2017-09-26t1449	777	30	164		0.016	16672
20170919_lin-04_GFP_spe-9 006 2017-09-26t1849	821	26	168		0.005	16672
20170919_lin-04_GFP_spe-9 007 2017-09-21t2300	590	19	52		0.000	16800
20170919_lin-04_GFP_spe-9 007 2017-09-22t0300	614	18	56		0.000	16672
20170919_lin-04_GFP_spe-9 007 2017-09-22t0700	671	22	60		0.000	16608
20170919_lin-04_GFP_spe-9 007 2017-09-22t1111	689	23	64		0.000	16608
20170919_lin-04_GFP_spe-9 007 2017-09-22t1520	732	23	68		0.000	16544
20170919_lin-04_GFP_spe-9 007 2017-09-22t1848	729	26	72		0.000	16608
20170919_lin-04_GFP_spe-9 007 2017-09-22t2248	758	26	76		0.000	16544
20170919_lin-04_GFP_spe-9 007 2017-09-23t0304	736	27	80		0.000	16544
20170919_lin-04_GFP_spe-9 007 2017-09-23t0648	802	28	84		0.000	16608
20170919_lin-04_GFP_spe-9 007 2017-09-23t1048	738	28	88		0.000	16608
20170919_lin-04_GFP_spe-9 007 2017-09-23t1448	731	28	92		0.000	20960
20170919_lin-04_GFP_spe-9 007 2017-09-23t1848	722	28	96		0.000	16544
20170919_lin-04_GFP_spe-9 007 2017-09-23t2248	778	29	100		0.000	16544
20170919_lin-04_GFP_spe-9 007 2017-09-24t0248	740	28	104		0.000	16608
20170919_lin-04_GFP_spe-9 007 2017-09-24t0659	734	28	108		0.000	16672
20170919_lin-04_GFP_spe-9 007 2017-09-24t1120	790	32	112		0.000	16608
20170919_lin-04_GFP_spe-9 007 2017-09-24t1448	727	26	116		0.000	21088
20170919_lin-04_GFP_spe-9 007 2017-09-24t1848	759	27	120		0.000	16672
20170919_lin-04_GFP_spe-9 007 2017-09-24t2304	728	28	124		0.000	16608
20170919_lin-04_GFP_spe-9 007 2017-09-25t0248	739	29	128		0.000	16608
20170919_lin-04_GFP_spe-9 007 2017-09-25t0648	775	28	132		0.000	16672
20170919_lin-04_GFP_spe-9 007 2017-09-25t1049	787	29	136		0.000	16672
20170919_lin-04_GFP_spe-9 007 2017-09-25t1449	766	30	140		0.000	21088
20170919_lin-04_GFP_spe-9 007 2017-09-25t1848	774	28	144		0.000	21088
20170919_lin-04_GFP_spe-9 007 2017-09-25t2248	789	27	148		0.000	21088
20170919_lin-04_GFP_spe-9 007 2017-09-26t0252	786	32	152		0.000	16736
20170919_lin-04_GFP_spe-9 007 2017-09-26t0648	763	29	156		0.000	16608
